ip,identd,user,time,request,status,size,referer,user_agent,cookie,num_params,suspicious_pattern,is_bot,label
::1,,,2024-11-08 00:45:37-03:00,GET /dashboard/howto.html HTTP/1.1,200,5990,http://localhost/dashboard/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/transfer-files-ftp.html HTTP/1.1,200,9232,http://localhost/dashboard/howto.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image2.png HTTP/1.1,200,3326,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image1.png HTTP/1.1,200,27420,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image3.png HTTP/1.1,200,8679,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image4.png HTTP/1.1,200,8643,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image5.png HTTP/1.1,200,14359,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image6.png HTTP/1.1,200,12707,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image7.png HTTP/1.1,200,16275,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image8.png HTTP/1.1,200,14354,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image9.png HTTP/1.1,200,42356,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image10.png HTTP/1.1,200,43801,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/docs/images/transfer-files-ftp/image11.png HTTP/1.1,200,15225,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:38-03:00,GET /dashboard/images/pdf-icon.png HTTP/1.1,200,4087,http://localhost/dashboard/stylesheets/all.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:39-03:00,GET /dashboard/faq.html HTTP/1.1,200,31830,http://localhost/dashboard/docs/transfer-files-ftp.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:41-03:00,GET /phpmyadmin/ HTTP/1.1,200,4951,http://localhost/dashboard/faq.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/themes/pmahomme/jquery/jquery-ui.css HTTP/1.1,200,36876,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,0,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/codemirror/lib/codemirror.css?v=5.2.1 HTTP/1.1,200,9030,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/codemirror/addon/hint/show-hint.css?v=5.2.1 HTTP/1.1,200,957,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/codemirror/addon/lint/lint.css?v=5.2.1 HTTP/1.1,200,3344,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/jquery/jquery-migrate.min.js?v=5.2.1 HTTP/1.1,200,13784,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/jquery/jquery.min.js?v=5.2.1 HTTP/1.1,200,90266,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/sprintf.js?v=5.2.1 HTTP/1.1,200,7725,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/ajax.js?v=5.2.1 HTTP/1.1,200,30265,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/keyhandler.js?v=5.2.1 HTTP/1.1,200,2374,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/name-conflict-fixes.js?v=5.2.1 HTTP/1.1,200,355,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/bootstrap/bootstrap.bundle.min.js?v=5.2.1 HTTP/1.1,200,80738,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/jquery/jquery-ui.min.js?v=5.2.1 HTTP/1.1,200,255403,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/js.cookie.js?v=5.2.1 HTTP/1.1,200,4198,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/jquery/jquery.validate.min.js?v=5.2.1 HTTP/1.1,200,24918,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/jquery/jquery-ui-timepicker-addon.js?v=5.2.1 HTTP/1.1,200,78793,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/jquery/jquery.debounce-1.0.6.js?v=5.2.1 HTTP/1.1,200,1923,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/menu_resizer.js?v=5.2.1 HTTP/1.1,200,6045,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/cross_framing_protection.js?v=5.2.1 HTTP/1.1,200,719,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/config.js?v=5.2.1 HTTP/1.1,200,24376,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/doclinks.js?v=5.2.1 HTTP/1.1,200,18593,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/functions.js?v=5.2.1 HTTP/1.1,200,148388,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/navigation.js?v=5.2.1 HTTP/1.1,200,52147,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/indexes.js?v=5.2.1 HTTP/1.1,200,27279,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/page_settings.js?v=5.2.1 HTTP/1.1,200,2133,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/common.js?v=5.2.1 HTTP/1.1,200,4846,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/codemirror/addon/runmode/runmode.js?v=5.2.1 HTTP/1.1,200,3092,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/codemirror/mode/sql/sql.js?v=5.2.1 HTTP/1.1,200,59881,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/codemirror/addon/hint/show-hint.js?v=5.2.1 HTTP/1.1,200,20109,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/codemirror/addon/hint/sql-hint.js?v=5.2.1 HTTP/1.1,200,9876,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/codemirror/addon/lint/lint.js?v=5.2.1 HTTP/1.1,200,10303,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/codemirror/addon/lint/sql-lint.js?v=5.2.1 HTTP/1.1,200,1254,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/vendor/tracekit.js?v=5.2.1 HTTP/1.1,200,47445,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/error_report.js?v=5.2.1 HTTP/1.1,200,9580,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/drag_drop_import.js?v=5.2.1 HTTP/1.1,200,12748,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,1,0,1
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/shortcuts_handler.js?v=5.2.1 HTTP/1.1,200,3618,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/dist/console.js?v=5.2.1 HTTP/1.1,200,49865,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,1,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/themes/dot.gif HTTP/1.1,200,349,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,0,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/js/messages.php?l=pt_BR&v=5.2.1&lang=pt_BR HTTP/1.1,200,9547,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,3,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/themes/pmahomme/img/b_help.png HTTP/1.1,200,1013,http://localhost/phpmyadmin/themes/pmahomme/css/theme.css?v=5.2.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,0,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/themes/pmahomme/img/s_error.png HTTP/1.1,200,922,http://localhost/phpmyadmin/themes/pmahomme/css/theme.css?v=5.2.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,0,0,0,0
::1,,,2024-11-08 00:45:45-03:00,GET /phpmyadmin/favicon.ico HTTP/1.1,200,22800,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,0,0,0,0
::1,,,2024-11-08 00:45:52-03:00,GET / HTTP/1.1,302,295,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:45:48-03:00,GET /phpmyadmin/index.php?route=/&lang=pt_BR HTTP/1.1,200,4708,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",phpMyAdmin=oe83f49d1bittnp855je5l6ctu; pma_lang=pt_BR,2,0,0,0
::1,,,2024-11-08 00:48:31-03:00,GET /?id=1 HTTP/1.1,302,295,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,1,0,0,0
::1,,,2024-11-08 00:48:37-03:00,GET /?q=%3Cscript%3Ealert(%27XSS%27)%3C/script%3E HTTP/1.1,302,295,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,1,0,0,0
::1,,,2024-11-08 00:49:37-03:00,GET /?user=admin%27-- HTTP/1.1,302,295,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,1,1,0,1
::1,,,2024-11-08 00:53:47-03:00,GET /?id=1%27%20OR%20%271%27=%271 HTTP/1.1,302,295,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,1,0,0,0
::1,,,2024-11-08 00:53:54-03:00,GET /?search=%3Cscript%3Ealert(%27XSS%27)%3C/script%3E HTTP/1.1,302,295,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,1,0,0,0
::1,,,2024-11-08 00:53:56-03:00,GET /?search=%3Cscript%3Ealert(%27XSS%27)%3C/script%3E HTTP/1.1,302,294,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,1,0,0,0
::1,,,2024-11-08 00:54:00-03:00,GET /?cmd=ls%20-la HTTP/1.1,302,294,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,1,0,0,0
::1,,,2024-11-08 00:54:05-03:00,GET /etc/passwd HTTP/1.1,404,535,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:54:05-03:00,GET /favicon.ico HTTP/1.1,200,31208,http://localhost/etc/passwd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,0,0,0,0
::1,,,2024-11-08 00:54:11-03:00,GET /?a=1&b=2&c=3&d=4&e=5&f=6 HTTP/1.1,302,295,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,6,0,0,1
